"","path","filename","trait","sample_size","ncase","ncontrol","nsnp","id","category","sex","newfile"
"652","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34499.metal.pos.txt.gz.tab","X-12816",4524,NA,NA,2544861,662,"Metabolites","Males and females","metabolites__x12816.txt.gz"
"740","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M37459.metal.pos.txt.gz.tab","Ergothioneine",4453,NA,NA,2545729,750,"Metabolites","Males and females","metabolites__ergothioneine.txt.gz"
"693","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35527.metal.pos.txt.gz.tab","4-hydroxyhippurate",4368,NA,NA,2543571,703,"Metabolites","Males and females","metabolites__4hydroxyhippurate.txt.gz"
"722","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M36589.metal.pos.txt.gz.tab","X-14662",4212,NA,NA,2544763,732,"Metabolites","Males and females","metabolites__x14662.txt.gz"
"590","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33782.metal.pos.txt.gz.tab","X-10346",4207,NA,NA,2544806,600,"Metabolites","Males and females","metabolites__x10346.txt.gz"
"421","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M22138.metal.pos.txt.gz.tab","Homocitrulline",4135,NA,NA,2545416,431,"Metabolites","Males and females","metabolites__homocitrulline.txt.gz"
"559","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33408.metal.pos.txt.gz.tab","X-12056",4130,NA,NA,2545359,569,"Metabolites","Males and females","metabolites__x12056.txt.gz"
"565","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33443.metal.pos.txt.gz.tab","Valerate",4102,NA,NA,2545199,575,"Metabolites","Males and females","metabolites__valerate.txt.gz"
"656","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34530.metal.pos.txt.gz.tab","X-12847",4036,NA,NA,2545514,666,"Metabolites","Males and females","metabolites__x12847.txt.gz"
"397","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M18497.metal.pos.txt.gz.tab","Taurocholate",4032,NA,NA,2545866,407,"Metabolites","Males and females","metabolites__taurocholate.txt.gz"
"554","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33364.metal.pos.txt.gz.tab","Gamma-glutamylthreonine*",4016,NA,NA,2545368,564,"Metabolites","Males and females","metabolites__gammaglutamylthreonine.txt.gz"
"422","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M22175.metal.pos.txt.gz.tab","Aspartylphenylalanine",3948,NA,NA,2545786,432,"Metabolites","Males and females","metabolites__aspartylphenylalanine.txt.gz"
"591","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33801.metal.pos.txt.gz.tab","ADpSGEGDFXAEGGGVR*",3939,NA,NA,2545660,601,"Metabolites","Males and females","metabolites__adpsgegdfxaegggvr.txt.gz"
"539","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33188.metal.pos.txt.gz.tab","X-11843",3938,NA,NA,2545410,549,"Metabolites","Males and females","metabolites__x11843.txt.gz"
"812","/projects/MRC-IEU/publicdata/GWAS_summary_data/dbGAP_collections","phs000206.pha002874.txt.gz.tab","Pancreatic cancer",3835,1896,1939,521863,822,"Disease","Males and females","disease__pancreatic_cancer.txt.gz"
"803","/projects/MRC-IEU/publicdata/GWAS_summary_data/dbGAP_collections","phs000092.pha002907.txt.gz.tab","Alcohol dependence",3829,1897,1932,917030,813,"Risk factor","Males and females","risk_factor__alcohol_dependence.txt.gz"
"639","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34350.metal.pos.txt.gz.tab","X-12740",3731,NA,NA,2543294,649,"Metabolites","Males and females","metabolites__x12740.txt.gz"
"412","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M21049.metal.pos.txt.gz.tab","1,6-anhydroglucose",3663,NA,NA,2541750,422,"Metabolites","Males and females","metabolites__16anhydroglucose.txt.gz"
"384","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M16823.metal.pos.txt.gz.tab","X-04500",3647,NA,NA,2544484,394,"Metabolites","Males and females","metabolites__x04500.txt.gz"
"721","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M36585.metal.pos.txt.gz.tab","X-14658",3533,NA,NA,2546626,731,"Metabolites","Males and females","metabolites__x14658.txt.gz"
"965","/projects/MRC-IEU/groups/evidencehub/GWAS-Base/Albagha_PagetsDisease/","Albagha_Gwas_P_Haycock.csv.tab","Paget's disease",3440,741,2699,2479235,975,"Disease","Males and females","disease__pagets_disease.txt.gz"
"545","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33203.metal.pos.txt.gz.tab","X-11858",3427,NA,NA,2544861,555,"Metabolites","Males and females","metabolites__x11858.txt.gz"
"653","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34513.metal.pos.txt.gz.tab","X-12830",3415,NA,NA,2545495,663,"Metabolites","Males and females","metabolites__x12830.txt.gz"
"726","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M36756.metal.pos.txt.gz.tab","Leucylleucine",3386,NA,NA,2545218,736,"Metabolites","Males and females","metabolites__leucylleucine.txt.gz"
"685","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35331.metal.pos.txt.gz.tab","X-13553",3085,NA,NA,2544863,695,"Metabolites","Males and females","metabolites__x13553.txt.gz"
"575","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33531.metal.pos.txt.gz.tab","X-12116",3039,NA,NA,2544669,585,"Metabolites","Males and females","metabolites__x12116.txt.gz"
"1000","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Goris25616667/Brain_2015_Goris/","Brain_2015_Goris_OCB.meta.tab","Oligoclonal band status",3026,363,2663,485523,1016,"Risk factor","Males and females","risk_factor__oligoclonal_band_status.txt.gz"
"528","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33009.metal.pos.txt.gz.tab","Homostachydrine*",3003,NA,NA,2545071,538,"Metabolites","Males and females","metabolites__homostachydrine.txt.gz"
"544","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33197.metal.pos.txt.gz.tab","X-11852",2974,NA,NA,2544519,554,"Metabolites","Males and females","metabolites__x11852.txt.gz"
"1050","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Luciano21130836/","METAANALYSIS1.TBL.DS3cohorts.new.tab","Digit symbol",2956,NA,NA,2402676,1067,"Risk factor","Males and females","risk_factor__digit_symbol.txt.gz"
"571","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33508.metal.pos.txt.gz.tab","X-12093",2854,NA,NA,2545103,581,"Metabolites","Males and females","metabolites__x12093.txt.gz"
"774","/projects/MRC-IEU/publicdata/GWAS_summary_data/melanoma","melanoma_gwas.txt.tab","Melanoma",2830,1804,1026,818978,784,"Disease","Males and females","disease__melanoma.txt.gz"
"1051","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Luciano21130836/","METAANALYSIS2.4CRT.TBL.new.tab","4-choice reaction time",2829,NA,NA,2402691,1068,"Risk factor","Males and females","risk_factor__4choice_reaction_time.txt.gz"
"536","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33150.metal.pos.txt.gz.tab","X-11805",2814,NA,NA,2545657,546,"Metabolites","Males and females","metabolites__x11805.txt.gz"
"595","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33835.metal.pos.txt.gz.tab","X-12407",2814,NA,NA,2543481,605,"Metabolites","Males and females","metabolites__x12407.txt.gz"
"530","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33131.metal.pos.txt.gz.tab","X-11786--methylcysteine",2811,NA,NA,2545672,540,"Metabolites","Males and females","metabolites__x11786methylcysteine.txt.gz"
"435","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M27447.metal.pos.txt.gz.tab","1-linoleoylglycerol (1-monolinolein)",2797,NA,NA,2545660,445,"Metabolites","Males and females","metabolites__1linoleoylglycerol_1monolinolein.txt.gz"
"579","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33627.metal.pos.txt.gz.tab","X-12206",2795,NA,NA,2545821,589,"Metabolites","Males and females","metabolites__x12206.txt.gz"
"599","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33883.metal.pos.txt.gz.tab","X-12441--12-hydroxyeicosatetraenoate (12-HETE)",2761,NA,NA,2545695,609,"Metabolites","Males and females","metabolites__x1244112hydroxyeicosatetraenoate_12hete.txt.gz"
"709","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M36115.metal.pos.txt.gz.tab","X-14189--leucylalanine",2745,NA,NA,2545768,719,"Metabolites","Males and females","metabolites__x14189leucylalanine.txt.gz"
"540","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33190.metal.pos.txt.gz.tab","X-11845",2741,NA,NA,2545107,550,"Metabolites","Males and females","metabolites__x11845.txt.gz"
"735","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M37112.metal.pos.txt.gz.tab","Chiro-inositol",2729,NA,NA,2542686,745,"Metabolites","Males and females","metabolites__chiroinositol.txt.gz"
"546","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33204.metal.pos.txt.gz.tab","X-11859",2721,NA,NA,2545281,556,"Metabolites","Males and females","metabolites__x11859.txt.gz"
"520","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32854.metal.pos.txt.gz.tab","X-11537",2719,NA,NA,2545623,530,"Metabolites","Males and females","metabolites__x11537.txt.gz"
"522","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32857.metal.pos.txt.gz.tab","X-11540",2688,NA,NA,2545690,532,"Metabolites","Males and females","metabolites__x11540.txt.gz"
"707","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M36009.metal.pos.txt.gz.tab","X-14086",2686,NA,NA,2545870,717,"Metabolites","Males and females","metabolites__x14086.txt.gz"
"312","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M01123.metal.pos.txt.gz.tab","Inosine",2675,NA,NA,2545601,322,"Metabolites","Males and females","metabolites__inosine.txt.gz"
"1048","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Luciano21130836/","METAANALYSIS1.IT.TBL.new.tab","Inspection time",2645,NA,NA,2402666,1065,"Risk factor","Males and females","risk_factor__inspection_time.txt.gz"
"493","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32691.metal.pos.txt.gz.tab","X-11374",2609,NA,NA,2545555,503,"Metabolites","Males and females","metabolites__x11374.txt.gz"
"1056","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Evans_blood_metal/","Cu_autosomes.txt.tab","Copper",2603,NA,NA,2543646,1073,"Risk factor","Males and females","risk_factor__copper.txt.gz"
"1060","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Evans_blood_metal/","Se_QIMR_autosomes.txt.tab","Selenium",2603,NA,NA,2543617,1077,"Risk factor","Males and females","risk_factor__selenium.txt.gz"
"1062","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Evans_blood_metal/","Zn_autosomes.txt.tab","Zinc",2603,NA,NA,2543610,1079,"Risk factor","Males and females","risk_factor__zinc.txt.gz"
"1047","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Luciano21130836/","METAANALYSIS11.TBL.2crtm2cohorts.new.tab","2-choice reaction time",2602,NA,NA,2415500,1064,"Risk factor","Males and females","risk_factor__2choice_reaction_time.txt.gz"
"661","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34674.metal.pos.txt.gz.tab","X-12990--docosapentaenoic acid (n6-DPA)",2581,NA,NA,2545878,671,"Metabolites","Males and females","metabolites__x12990docosapentaenoic_acid_n6dpa.txt.gz"
"507","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32762.metal.pos.txt.gz.tab","X-11445--5-alpha-pregnan-3beta,20alpha-disulfate",2570,NA,NA,2545722,517,"Metabolites","Males and females","metabolites__x114455alphapregnan3beta20alphadisulfate.txt.gz"
"714","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M36376.metal.pos.txt.gz.tab","X-14450--phenylalanylleucine",2555,NA,NA,2545121,724,"Metabolites","Males and females","metabolites__x14450phenylalanylleucine.txt.gz"
"664","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34878.metal.pos.txt.gz.tab","X-13183--stearamide",2503,NA,NA,2545619,674,"Metabolites","Males and females","metabolites__x13183stearamide.txt.gz"
"711","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M36134.metal.pos.txt.gz.tab","X-14208--phenylalanylserine",2455,NA,NA,2545429,721,"Metabolites","Males and females","metabolites__x14208phenylalanylserine.txt.gz"
"532","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33137.metal.pos.txt.gz.tab","X-11792",2442,NA,NA,2544998,542,"Metabolites","Males and females","metabolites__x11792.txt.gz"
"978","/projects/MRC-IEU/groups/evidencehub/Wade_Bulimia_nervosa","Wadeetal_Bulimia_AssociationResults.txt.gz.tab","Bulimia nervosa",2442,151,2291,11846513,990,"Disease","Females","disease__bulimia_nervosa.txt.gz"
"712","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M36230.metal.pos.txt.gz.tab","X-14304--leucylalanine",2434,NA,NA,2546105,722,"Metabolites","Males and females","metabolites__x14304leucylalanine.txt.gz"
"1044","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Luciano21130836","METAANALYSIS2.factor.TBL.new.tab","G speed factor",2430,NA,NA,2402695,1061,"Risk factor","Males and females","risk_factor__g_speed_factor.txt.gz"
"1049","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Luciano21130836/","METAANALYSIS1.SRT.TBL.new.tab","Simple reaction time",2378,NA,NA,2415500,1066,"Risk factor","Males and females","risk_factor__simple_reaction_time.txt.gz"
"333","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M01573.metal.pos.txt.gz.tab","Guanosine",2343,NA,NA,2545643,343,"Metabolites","Males and females","metabolites__guanosine.txt.gz"
"629","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34289.metal.pos.txt.gz.tab","X-12680",2311,NA,NA,2545909,639,"Metabolites","Males and females","metabolites__x12680.txt.gz"
"553","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33363.metal.pos.txt.gz.tab","Gamma-glutamylmethionine*",2240,NA,NA,2545674,563,"Metabolites","Males and females","metabolites__gammaglutamylmethionine.txt.gz"
"478","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32560.metal.pos.txt.gz.tab","X-07765",2170,NA,NA,2544155,488,"Metabolites","Males and females","metabolites__x07765.txt.gz"
"525","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32869.metal.pos.txt.gz.tab","X-11552",2170,NA,NA,2545812,535,"Metabolites","Males and females","metabolites__x11552.txt.gz"
"390","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M18357.metal.pos.txt.gz.tab","Glycylvaline",2108,NA,NA,2545247,400,"Metabolites","Males and females","metabolites__glycylvaline.txt.gz"
"338","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M01640.metal.pos.txt.gz.tab","Ascorbate (Vitamin C)",2085,NA,NA,2545101,348,"Metabolites","Males and females","metabolites__ascorbate_vitamin_c.txt.gz"
"523","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32863.metal.pos.txt.gz.tab","X-11546",2015,NA,NA,2544421,533,"Metabolites","Males and females","metabolites__x11546.txt.gz"
"670","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35159.metal.pos.txt.gz.tab","Cysteine-glutathione disulfide",1997,NA,NA,2545457,680,"Metabolites","Males and females","metabolites__cysteineglutathione_disulfide.txt.gz"
"552","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33359.metal.pos.txt.gz.tab","X-12013",1948,NA,NA,2545570,562,"Metabolites","Males and females","metabolites__x12013.txt.gz"
"716","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M36468.metal.pos.txt.gz.tab","X-14541",1941,NA,NA,2545788,726,"Metabolites","Males and females","metabolites__x14541.txt.gz"
"585","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33658.metal.pos.txt.gz.tab","X-12236",1924,NA,NA,2543269,595,"Metabolites","Males and females","metabolites__x12236.txt.gz"
"631","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34314.metal.pos.txt.gz.tab","X-12704",1813,NA,NA,2544414,641,"Metabolites","Males and females","metabolites__x12704.txt.gz"
"710","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M36131.metal.pos.txt.gz.tab","X-14205--alpha-glutamyltyrosine",1789,NA,NA,2545647,720,"Metabolites","Males and females","metabolites__x14205alphaglutamyltyrosine.txt.gz"
"731","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M37004.metal.pos.txt.gz.tab","X-14977--vanillin",1789,NA,NA,2545167,741,"Metabolites","Males and females","metabolites__x14977vanillin.txt.gz"
"637","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34339.metal.pos.txt.gz.tab","X-12729",1753,NA,NA,2545035,647,"Metabolites","Males and females","metabolites__x12729.txt.gz"
"720","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M36559.metal.pos.txt.gz.tab","X-14632",1703,NA,NA,2545261,730,"Metabolites","Males and females","metabolites__x14632.txt.gz"
"633","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34327.metal.pos.txt.gz.tab","X-12717",1632,NA,NA,2543754,643,"Metabolites","Males and females","metabolites__x12717.txt.gz"
"446","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M31522.metal.pos.txt.gz.tab","Pyroglutamylglycine",1586,NA,NA,2545128,456,"Metabolites","Males and females","metabolites__pyroglutamylglycine.txt.gz"
"359","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M12261.metal.pos.txt.gz.tab","Taurodeoxycholate",1564,NA,NA,2545263,369,"Metabolites","Males and females","metabolites__taurodeoxycholate.txt.gz"
"634","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34329.metal.pos.txt.gz.tab","X-12719",1539,NA,NA,2543815,644,"Metabolites","Males and females","metabolites__x12719.txt.gz"
"395","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M18477.metal.pos.txt.gz.tab","Glycodeoxycholate",1477,NA,NA,2544647,405,"Metabolites","Males and females","metabolites__glycodeoxycholate.txt.gz"
"596","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33864.metal.pos.txt.gz.tab","X-12428",1439,NA,NA,2544499,606,"Metabolites","Males and females","metabolites__x12428.txt.gz"
"690","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35451.metal.pos.txt.gz.tab","X-13658",1412,NA,NA,2542649,700,"Metabolites","Males and females","metabolites__x13658.txt.gz"
"1046","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Luciano21130836/","avg8CRT_QIMR_021209.txt.tab","8-choice reaction time",1382,NA,NA,2383239,1063,"Risk factor","Males and females","risk_factor__8choice_reaction_time.txt.gz"
"1003","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Jacobsen25451450","TGEN_mig_bp_log_frq_hwe.txt.tab","Migraine in bipolar disorder",1374,460,924,723225,1019,"Risk factor","Males and females","risk_factor__migraine_in_bipolar_disorder.txt.gz"
"551","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33353.metal.pos.txt.gz.tab","X-12007",1362,NA,NA,2540762,561,"Metabolites","Males and females","metabolites__x12007.txt.gz"
"698","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35635.metal.pos.txt.gz.tab","3-(3-hydroxyphenyl)propionate",1163,NA,NA,2541405,708,"Metabolites","Males and females","metabolites__33hydroxyphenylpropionate.txt.gz"
"588","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33683.metal.pos.txt.gz.tab","X-12261",1050,NA,NA,2545089,598,"Metabolites","Males and females","metabolites__x12261.txt.gz"
"1045","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Luciano21130836/","addSS_LBC1936.txt.tab","Symbol search",991,NA,NA,2529394,1062,"Risk factor","Males and females","risk_factor__symbol_search.txt.gz"
"393","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M18474.metal.pos.txt.gz.tab","Estrone 3-sulfate",957,NA,NA,2542633,403,"Metabolites","Males and females","metabolites__estrone_3sulfate.txt.gz"
"724","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M36738.metal.pos.txt.gz.tab","Gamma-glutamylglutamate",931,NA,NA,2545200,734,"Metabolites","Males and females","metabolites__gammaglutamylglutamate.txt.gz"
"589","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33751.metal.pos.txt.gz.tab","X-12329",867,NA,NA,2534362,599,"Metabolites","Males and females","metabolites__x12329.txt.gz"
"577","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33609.metal.pos.txt.gz.tab","X-12188",832,NA,NA,2545176,587,"Metabolites","Males and females","metabolites__x12188.txt.gz"
"447","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M31536.metal.pos.txt.gz.tab","N-(2-furoyl)glycine",604,NA,NA,2542858,457,"Metabolites","Males and females","metabolites__n2furoylglycine.txt.gz"
"558","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33391.metal.pos.txt.gz.tab","X-12040",559,NA,NA,2538751,568,"Metabolites","Males and females","metabolites__x12040.txt.gz"
"636","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34338.metal.pos.txt.gz.tab","X-12728",537,NA,NA,2542406,646,"Metabolites","Males and females","metabolites__x12728.txt.gz"
"578","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33610.metal.pos.txt.gz.tab","X-12189",481,NA,NA,2537451,588,"Metabolites","Males and females","metabolites__x12189.txt.gz"
"632","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34322.metal.pos.txt.gz.tab","X-12712",260,NA,NA,2531353,642,"Metabolites","Males and females","metabolites__x12712.txt.gz"
"654","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34516.metal.pos.txt.gz.tab","X-12833",243,NA,NA,2537704,664,"Metabolites","Males and females","metabolites__x12833.txt.gz"
"598","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33877.metal.pos.txt.gz.tab","X-12435",231,NA,NA,2539159,608,"Metabolites","Males and females","metabolites__x12435.txt.gz"
"967","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/dev/release_candidate/data/results/passqc","fa2stu.MAF0_.005.pos_.out_.gz.tab","Forearm bone mineral density",NA,NA,NA,9955366,977,"Risk factor","Males and females","risk_factor__forearm_bone_mineral_density.txt.gz"
"968","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/dev/release_candidate/data/results/passqc","fn2stu.MAF0_.005.pos_.out_.gz.tab","Femoral neck bone mineral density",NA,NA,NA,10586900,980,"Risk factor","Males and females","risk_factor__femoral_neck_bone_mineral_density.txt.gz"
"970","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/dev/release_candidate/data/results/passqc","ls2stu.MAF0_.005.pos_.out_.gz.tab","Lumbar spine bone mineral density",NA,NA,NA,10582867,982,"Risk factor","Males and females","risk_factor__lumbar_spine_bone_mineral_density.txt.gz"
